"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2019","9,801.4","11,127.3","11,386.9","9,056.0","19.63K","-11.91%"
"06/26/2019","11,127.2","10,336.6","12,060.0","10,211.0","22.80K","7.60%"
"06/25/2019","10,340.8","9,668.9","10,378.6","9,653.2","11.17K","6.97%"
"06/24/2019","9,667.1","9,484.7","9,734.8","9,250.9","6.39K","1.92%"
"06/23/2019","9,484.7","9,363.9","9,862.3","9,190.5","5.86K","1.29%"
"06/22/2019","9,363.9","8,970.9","9,881.7","8,726.5","12.33K","4.32%"
"06/21/2019","8,976.4","8,440.0","8,979.6","8,440.0","8.54K","6.28%"
"06/20/2019","8,446.1","8,256.3","8,510.0","8,168.0","5.91K","2.27%"
"06/19/2019","8,258.3","8,109.4","8,289.0","8,061.9","4.09K","1.84%"
"06/18/2019","8,109.4","8,316.0","8,337.4","7,984.6","7.08K","-2.48%"
"06/17/2019","8,316.0","8,007.0","8,442.0","7,998.7","6.88K","3.86%"
"06/16/2019","8,007.0","7,902.3","8,380.2","7,836.5","8.65K","1.32%"
"06/15/2019","7,902.3","7,764.6","7,929.5","7,700.0","3.40K","1.76%"
"06/14/2019","7,765.5","7,311.6","7,797.0","7,270.0","4.27K","6.21%"
"06/13/2019","7,311.6","7,241.6","7,395.0","7,150.0","4.31K","0.97%"
"06/12/2019","7,241.6","6,993.0","7,310.0","6,920.0","5.85K","3.55%"
"06/11/2019","6,993.0","7,088.4","7,119.9","6,804.4","5.03K","-1.35%"
"06/10/2019","7,088.4","6,772.7","7,150.0","6,658.9","6.12K","4.66%"
"06/09/2019","6,772.7","7,015.3","7,035.8","6,667.0","2.95K","-3.46%"
"06/08/2019","7,015.3","7,070.1","7,120.0","6,892.1","2.78K","-0.78%"
"06/07/2019","7,070.1","6,917.7","7,178.0","6,884.0","5.81K","2.24%"
"06/06/2019","6,915.3","6,939.2","7,009.8","6,613.3","5.49K","-0.34%"
"06/05/2019","6,939.2","6,818.4","7,054.3","6,748.7","6.39K","1.66%"
"06/04/2019","6,825.9","7,219.9","7,220.0","6,617.1","10.51K","-5.66%"
"06/03/2019","7,235.8","7,828.0","7,833.4","7,194.4","6.92K","-7.59%"
"06/02/2019","7,829.9","7,665.8","7,911.9","7,660.1","2.30K","2.14%"
"06/01/2019","7,665.8","7,677.8","7,724.1","7,566.7","2.19K","-0.16%"
"05/31/2019","7,677.8","7,444.8","7,699.0","7,299.4","6.31K","3.11%"
"05/30/2019","7,446.5","7,781.1","8,140.0","7,221.0","10.94K","-4.30%"
"05/29/2019","7,781.1","7,808.6","7,869.9","7,565.6","5.47K","-0.37%"
"05/28/2019","7,809.7","7,844.9","7,882.3","7,642.0","5.26K","-0.45%"
"05/27/2019","7,844.9","7,804.5","7,990.1","7,739.2","7.26K","0.45%"
"05/26/2019","7,809.9","7,212.5","7,859.6","7,075.0","8.23K","8.28%"
"05/25/2019","7,212.5","7,138.3","7,285.1","7,103.6","2.55K","1.03%"
"05/24/2019","7,139.3","7,045.6","7,300.0","6,975.1","5.53K","1.33%"
"05/23/2019","7,045.6","6,844.2","7,148.6","6,727.8","6.60K","2.95%"
"05/22/2019","6,843.6","7,134.7","7,209.9","6,749.0","6.85K","-4.06%"
"05/21/2019","7,132.9","7,171.2","7,267.3","7,026.0","5.64K","-0.53%"
"05/20/2019","7,171.2","7,345.2","7,346.0","6,801.1","8.70K","-2.35%"
"05/19/2019","7,344.0","6,536.2","7,429.9","6,535.0","6.18K","12.36%"
"05/18/2019","6,536.2","6,598.6","6,738.1","6,499.3","4.13K","-0.98%"
"05/17/2019","6,600.8","7,050.9","7,099.1","6,077.2","14.65K","-6.38%"
"05/16/2019","7,050.4","7,312.0","7,456.0","6,877.3","9.17K","-3.58%"
"05/15/2019","7,312.0","7,125.2","7,389.0","6,993.0","7.12K","2.62%"
"05/14/2019","7,125.3","6,936.1","7,419.6","6,808.0","13.93K","2.77%"
"05/13/2019","6,933.0","6,199.6","7,246.9","6,112.5","13.75K","11.82%"
"05/12/2019","6,200.0","6,323.1","6,743.0","6,002.0","13.25K","-1.98%"
"05/11/2019","6,325.1","5,651.8","6,555.0","5,645.8","11.19K","11.91%"
"05/10/2019","5,651.8","5,480.4","5,722.3","5,440.1","7.46K","3.14%"
"05/09/2019","5,480.0","5,302.1","5,500.0","5,293.8","5.99K","3.35%"
"05/08/2019","5,302.3","5,137.9","5,338.3","5,075.0","4.41K","3.21%"
"05/07/2019","5,137.5","5,078.5","5,329.9","5,077.3","6.81K","1.16%"
"05/06/2019","5,078.5","5,112.3","5,133.2","4,983.2","4.27K","-0.66%"
"05/05/2019","5,112.3","5,150.4","5,173.4","5,031.9","2.15K","-0.74%"
"05/04/2019","5,150.4","5,048.1","5,205.0","4,926.0","4.21K","1.94%"
"05/03/2019","5,052.2","4,822.5","5,183.0","4,804.0","8.87K","4.73%"
"05/02/2019","4,824.0","4,755.9","4,849.9","4,736.8","3.87K","1.43%"
"05/01/2019","4,755.9","4,701.6","4,759.9","4,701.6","2.60K","1.15%"
"04/30/2019","4,701.6","4,605.3","4,716.6","4,586.3","4.44K","2.09%"
"04/29/2019","4,605.3","4,628.6","4,654.9","4,558.2","4.00K","-0.50%"
"04/28/2019","4,628.6","4,655.8","4,694.9","4,584.1","1.99K","-0.58%"
"04/27/2019","4,655.8","4,627.2","4,689.8","4,593.7","2.16K","0.62%"
"04/26/2019","4,627.3","4,620.6","4,749.7","4,527.1","7.05K","0.14%"
"04/25/2019","4,620.6","4,886.0","4,959.0","4,500.0","6.71K","-5.43%"
"04/24/2019","4,886.0","4,928.2","5,019.6","4,819.4","6.47K","-0.96%"
"04/23/2019","4,933.6","4,784.6","5,014.5","4,771.5","6.56K","3.11%"
"04/22/2019","4,784.6","4,716.1","4,835.9","4,680.6","2.88K","1.45%"
"04/21/2019","4,716.1","4,735.0","4,752.0","4,653.0","1.50K","-0.40%"
"04/20/2019","4,735.0","4,706.7","4,765.0","4,684.2","1.78K","0.60%"
"04/19/2019","4,706.7","4,699.9","4,764.2","4,630.1","2.69K","0.14%"
"04/18/2019","4,699.9","4,628.1","4,738.9","4,625.6","4.07K","1.55%"
"04/17/2019","4,628.1","4,613.0","4,667.3","4,594.7","3.36K","0.33%"
"04/16/2019","4,613.0","4,461.0","4,640.6","4,450.7","4.96K","3.41%"
"04/15/2019","4,461.0","4,567.0","4,588.7","4,382.8","4.93K","-2.32%"
"04/14/2019","4,567.0","4,500.3","4,587.8","4,452.7","1.87K","1.48%"
"04/13/2019","4,500.3","4,500.0","4,536.8","4,475.2","1.59K","0.01%"
"04/12/2019","4,500.0","4,488.0","4,529.4","4,380.0","4.34K","0.27%"
"04/11/2019","4,488.0","4,728.3","4,746.9","4,417.5","7.23K","-5.08%"
"04/10/2019","4,728.3","4,614.3","4,850.0","4,593.3","6.84K","2.47%"
"04/09/2019","4,614.3","4,692.5","4,702.9","4,581.1","5.09K","-1.67%"
"04/08/2019","4,692.5","4,636.6","4,765.1","4,562.2","6.80K","1.21%"
"04/07/2019","4,636.6","4,500.6","4,698.3","4,488.9","3.27K","3.02%"
"04/06/2019","4,500.6","4,490.5","4,675.0","4,390.0","4.67K","0.22%"
"04/05/2019","4,490.5","4,368.5","4,531.0","4,349.6","5.31K","2.76%"
